,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
Productos de papel y cartón,0.00,0.01,0.00,0.01,0.00,0.05,4256.01,201.41,0.00,0.07,0.03,0.00,290.64,1240.56,46954.69,7167.83,31807.52,1719.80,0.00,0.00,0.00,98899.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5763.12,22591.04,559.40,0.00,8522.79,385.71,682.67,903.02,10011.58,7213.13,3013.65,650.41,730.63,4915.07,4.71,5886.60,4377.40,20.28,0.00,0.00,4994.54,317.55,280.05,1393.86,57094.70,4370.27,7589.67,10002.99,0.00,0.00,7215.30,3207.37,9.27,104.59,82.13,19.89,8203.86,18.41,69.50,12.99,8.25,1062.39,0.00,45.12,40.61,890.63,117.89,3994.16,2426.06,5548.89,7569.09,2581.06,469.94,9294.68,174.64,933.21,11560.05,6.67,2207.68,476.06,1346.54,46415.86,5000.00,8661.81,9483.63,41983.84,3449.78,5225.66,60.99,277.49,4149.52,12316.23,623.31,13208.22,22920.84,10358.52,140248.82,0.00,24219.67,3517.53,18559.70,4540.99,6934.27,588.63,1836.92,1197.09,39891.85,0.00,29795.40
"Edición de libros, folletos, grabaciones y otras ediciones",39.57,8.78,5.80,9.95,4.85,43.27,8.93,6.73,0.06,3.13,0.56,4.62,0.42,1.89,5.74,0.65,2.00,2.60,4.37,3.01,0.35,6.01,0.15,0.61,2.33,3.66,0.12,1.43,0.52,5.56,0.78,2.46,0.48,1.14,1.07,5.00,0.75,0.09,2.15,1.05,1.80,0.66,1.11,0.95,22585.14,2772.92,10617.82,0.00,1.94,0.88,1.38,1.22,6.68,3.20,2.14,0.22,0.40,1.77,6.57,0.70,1.29,1.09,0.71,0.95,5.57,1.03,1.04,1.40,0.80,1.89,3.25,1.41,2.06,1.15,2.17,1.01,0.08,1.24,0.95,0.33,1.15,0.85,1.19,0.71,1.59,3.36,0.79,5.39,0.31,0.27,5.04,7040.29,2.80,0.61,1.70,0.00,5076.26,8426.01,814.85,2278.99,3.49,6.59,0.09,0.35,5.64,15.78,1002.23,4016.91,4427.03,13.23,108256.66,12378.79,142.16,1629.73,28544.47,0.00,55786.38,0.00,0.74,13.46,8364.59,9.34,13.87
Edición de periódicos y revistas,1355.69,300.79,198.58,340.77,166.02,1483.91,799.16,230.49,2.12,121.15,299.26,7245.97,204.73,928.86,9194.69,723.61,5962.56,4072.49,17371.32,3324.09,1313.61,15589.28,435.10,7878.46,3063.93,34199.73,2253.92,12528.87,15495.39,31997.15,12361.64,1396.69,282.82,2164.75,1346.36,9624.30,390.25,162.88,6073.63,519.96,1399.22,804.79,1246.69,8531.90,8665.83,44319.75,12540.73,12833.47,1378.99,5189.88,671.75,4768.24,55891.49,54956.06,3093.12,252.57,2023.32,1257.86,7898.11,581.92,1170.07,2688.07,1225.24,939.62,2626.41,673.31,418.15,984.70,407.83,1422.20,4848.52,1397.57,2240.49,3352.05,1503.68,5381.63,83.96,1018.19,1460.77,214.52,810.94,697.64,1309.27,2018.62,1855.77,17973.34,941.08,3377.93,151.34,378.11,6202.48,2179.50,4054.78,1119.69,3655.50,0.00,82616.37,136518.29,6408.64,15849.86,3490.58,5028.85,42.88,269.93,4013.40,25557.82,6486.57,36402.92,106311.17,43991.39,74888.18,3480.49,51211.75,1643.25,4945.15,1574.82,62630.89,208.50,1363.70,1475.37,50874.56,27966.20,78522.47
Impresiones y reproducción de grabaciones,1942.69,430.18,284.25,488.19,232.76,2126.32,564.24,320.99,3.04,172.31,568.21,4023.06,358.52,1588.95,3459.77,575.72,1015.17,4823.98,6273.21,3126.91,610.89,5255.08,931.96,653.01,2431.01,3489.37,339.37,950.89,375.52,3936.96,2337.77,65488.68,77.37,429.78,182.54,2224.16,1589.56,256.74,1433.14,1144.04,915.99,1050.87,36056.60,3518.21,5628.70,48246.82,331845.62,8.24,2499.38,1706.01,2803.67,620.24,11482.22,5919.03,1965.30,119.28,215.17,789.20,5094.92,1110.72,1374.42,2040.47,1961.35,1055.15,7094.89,2193.46,814.04,2008.08,818.56,885.45,1405.68,687.47,1208.01,507.24,902.53,670.39,70.74,550.26,432.87,211.27,753.03,380.33,732.80,346.12,883.86,3272.75,356.93,2313.04,156.00,343.68,2305.19,9160.30,2464.68,535.11,1499.30,0.00,104137.15,171275.07,2630.37,7342.78,4101.58,5814.56,77.63,308.74,6066.89,13798.64,5786.91,41746.56,85908.63,11775.17,168534.63,23743.85,59717.78,2880.91,9891.23,1986.07,27771.41,366.00,646.84,3021.24,86577.69,8586.06,89131.07
Refinación de petróleo,261298.03,30997.23,19537.70,48053.87,8380.58,65842.81,9544.76,117654.48,425.10,12977.91,64357.64,1.11,1937.87,118147.90,13255.69,1485.81,3143.21,5717.98,8381.08,6479.70,588.58,8057.63,8094.47,3153.65,1356.03,5607.11,105.21,4246.74,967.59,9479.04,655.41,0.75,470.28,1904.19,761.34,1513.82,2509.41,69.40,1512.48,7775.47,8711.48,2920.78,2008.10,1135.43,20.04,405.35,806.25,207373.75,45037.46,14120.09,27546.12,4811.93,2224.32,8940.89,668.96,637.50,1235.27,5938.32,3010.99,609.94,5847.58,3639.26,12342.50,3232.21,5392.91,16974.50,7480.62,2655.17,1330.05,1567.97,2432.08,2138.12,2003.18,2623.07,2043.75,1534.71,0.04,3630.57,206.12,274.64,901.37,303.60,256.01,181.53,1827.01,8724.20,653.79,7147.43,260.68,135.71,3882.75,626.96,77042.59,868.06,3432.72,120736.07,74155.33,113760.18,2637.46,3648.24,321886.26,931645.99,0.00,14781.27,109731.88,0.07,5632.18,4456.21,2860.05,1554.13,104974.72,9.36,38041.72,3458.52,978.47,4715.16,82498.80,0.05,151.09,27156.46,18611.23,13025.21,7599.02
Química básica,31323.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,7266.58,921.51,22295.87,5.95,0.00,0.00,0.00,123593.32,0.00,0.00,0.00,3327.76,0.00,0.00,2755.41,0.00,2403.26,2310.87,67210.59,1582.61,12059.41,21260.24,2827.14,3886.71,0.00,40688.56,0.00,7535.58,22893.88,0.00,28577.10,26463.24,23763.08,0.00,3500.00,7304.19,53367.30,102447.62,107844.97,185948.75,27383.81,2104.66,28116.91,5102.57,27659.63,7276.17,9846.12,53814.10,560.16,176.53,0.00,0.00,0.00,36984.75,1000.00,4000.00,0.00,300.28,166.75,0.00,10.17,379.97,0.00,0.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18121.89,0.00,7072.10,3250.41,0.00,25191.46,3.60,6000.00,0.00,19308.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33609.28,0.00,0.60,28411.22,54895.47,200.67,0.00,0.00,8000.00,0.00,7073.73
Fertilizantes y plaguicidas,642372.52,24537.18,111868.30,114206.24,23711.87,29514.46,8750.90,972.83,26.35,58.41,1.48,0.00,0.00,0.00,0.00,71.15,539.65,1262.88,116.77,0.00,0.01,1489.93,135.62,5.00,172.46,37.88,0.00,800.00,0.80,2.93,0.00,1500.00,1556.71,10.01,0.00,1.08,3163.42,406.34,0.00,0.00,2.13,0.57,7.24,0.00,0.00,0.00,0.00,0.00,2981.91,85771.74,95.52,373.26,3257.31,35.91,444.04,12.04,0.00,2.93,205.39,7.46,2.31,0.00,0.00,0.06,8.84,0.00,0.00,0.00,32.04,0.00,5.03,0.00,0.00,7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.18,0.00,0.00,2.56,1.50,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301.26,0.00,11257.46,14.80,31.33,164.70,159.92,18.67,0.00,0.00,18.76,0.12,0.00
Materias primas plásticas y caucho sintético,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58183.37,0.00,0.00,236.43,0.00,35459.89,3482.03,33926.41,2591.34,3727.28,10753.54,194.23,0.00,4283.81,0.00,0.00,620.62,179752.85,13498.95,0.00,4000.00,609.59,20503.66,5881.74,21669.14,849120.06,9104.25,0.00,0.00,0.00,0.00,0.00,15.00,2074.93,0.00,1209.00,758.99,0.00,3903.40,9216.22,966.62,0.00,5876.64,0.00,1439.09,13601.11,35640.64,7044.30,6642.82,23318.58,0.00,8382.40,0.00,4682.95,32101.45,0.00,0.00,2000.00,73.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,631.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pinturas y barnices,740.25,152.93,102.16,177.58,86.09,771.30,178.36,140.67,1.08,61.60,6502.32,2538.84,217.86,960.81,1619.22,365.45,514.50,665.29,1436.07,783.39,99.77,1853.86,33.79,128.85,643.59,1036.98,34.82,396.35,137.44,1597.68,201.42,485.56,3778.52,809.08,302.82,1413.35,3713.92,0.00,434.21,336.45,9639.63,191.20,8240.89,4474.88,92.80,4991.02,27151.33,0.00,0.00,0.00,0.00,50888.65,0.00,63.29,0.00,0.00,0.00,0.00,21866.39,0.00,0.00,27883.18,265.27,4620.66,3877.92,2177.64,2539.39,11611.82,9675.69,0.00,7697.99,1420.31,2423.43,5624.89,2697.56,8222.99,0.00,2089.20,0.00,0.00,1186.71,3703.29,625.16,32.76,1401.90,32620.75,2262.20,5849.64,1729.92,1302.54,41591.94,2083.70,1523.67,339.66,953.34,374191.28,1463.12,11205.94,2193.34,6121.77,2357.04,3700.49,0.00,196.46,2917.73,8422.00,1253.68,9269.24,15932.66,7146.73,20002.27,0.00,15113.17,744.79,0.00,3586.76,4716.54,0.00,0.00,271.63,2143.46,4771.85,3222.97
Productos medicinales,43672.23,0.00,30000.00,30000.00,0.00,176489.56,28504.23,0.00,0.07,3.86,25.25,0.00,0.04,0.00,0.00,0.00,838.88,0.00,0.00,0.00,51.68,128.21,5.52,0.00,36.27,520.30,0.00,0.00,0.00,6536.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55758.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,14.61,0.00,0.00,0.00,1351.69,5552.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,5224.61,0.00,13631.18,7207.05,15241.92,403087.13,437250.89,25664.04,11.27,0.00,14824.88,0.88,9213.74
"Jabones, detergentes y cosméticos",4982.94,738.58,452.45,1361.81,327.21,1082.70,291.34,1058.36,0.88,1010.95,1822.10,156.47,0.00,0.00,5117.41,1499.04,1310.20,596.57,45883.31,0.00,910.62,6536.71,135.34,197.73,867.65,1121.85,0.00,986.11,380.89,2196.62,134.49,1623.31,2492.36,580.59,1905.01,5602.66,12275.90,112.36,897.30,407.44,5985.85,566.56,1731.65,458.50,179.86,1741.89,7643.46,1067.08,12710.13,13330.16,20945.67,0.00,9609.67,247654.19,7239.97,20.27,805.99,983.89,3545.03,590.91,867.22,0.00,467.96,1131.05,5883.62,151.98,492.44,529.79,1473.93,840.02,2330.48,495.73,0.00,565.63,558.53,371.20,73.16,682.24,683.11,0.00,925.85,163.76,668.86,88.79,1112.93,2440.81,460.73,2337.64,132.78,43.64,2188.74,0.00,1558.74,0.00,0.00,3404.10,2832.76,1130.98,34423.58,50728.31,529.53,1025.87,29.98,45.48,705.36,1955.76,291.18,2202.37,2061.64,1717.95,131310.09,4833.89,17848.63,4795.92,10145.89,1667.34,10809.86,3457.83,10326.75,0.00,23226.87,14.98,233973.76
Otros productos químicos,0.00,0.00,0.00,3877.67,0.00,1603.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5178.40,0.00,0.00,262.21,12485.12,12.98,0.00,1709.15,0.00,458.37,106.14,2713.79,0.00,1540.90,38.09,469.43,0.00,0.00,8484.64,165.25,2500.00,651.45,11385.38,0.00,3000.00,13031.28,35.15,21227.58,10368.83,16680.59,0.00,3992.93,21796.09,0.00,85127.01,539.65,163896.82,33357.39,1698.74,106858.16,67879.45,24817.76,22661.53,6659.80,46975.83,500.00,10358.01,2942.00,6900.02,5665.11,0.00,42.52,0.00,0.00,0.00,282.59,3.66,0.00,0.00,0.00,0.00,1190.31,0.00,100.80,0.00,710.49,2979.70,1055.51,912.95,0.00,0.00,0.00,1101.82,0.00,3250.41,0.00,21064.35,0.00,1987.68,61.63,0.00,260.46,0.00,0.00,21.84,437.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108300.70,0.00,17122.31,0.70,1.81,0.51,11635.57,0.00,6.21,0.00,2536.04,0.40,0.00
Fibras sintéticas manufacturadas,0.00,87.02,0.00,296.10,0.00,0.00,0.00,0.00,0.00,0.00,306.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,979.35,0.00,0.00,0.00,15.32,0.00,0.00,0.00,0.00,0.00,72868.53,0.00,17781.90,63181.97,20729.46,0.00,253.55,1608.81,0.00,132.40,0.00,2187.69,1577.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12012.28,64090.92,2641.10,14508.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.43,0.00,0.00,0.00,0.00,0.00,807.88,0.00,1475.16,0.00,0.00,815.35,0.00,0.00,0.00,0.00,838.41,5430.34,9032.25,193.97,252.96,0.00,0.00,0.00,0.00,25.03,0.00,0.00,13.36,27.43,10.35,28.87,0.00,1249.53,89.08,194.67,279.78,3549.70,0.00,47.39,0.00,345.07,8.73,0.00
"Cubiertas, cámaras y recauchutado de cubiertas",24760.76,1787.21,1217.41,3828.33,988.65,6600.74,120.93,7540.44,25.78,674.43,1.34,0.00,0.00,0.00,1.62,0.33,1.18,0.42,0.00,0.72,0.11,0.00,0.00,0.01,0.43,0.00,0.00,0.68,0.00,1.43,0.04,0.45,0.02,0.07,0.02,0.28,0.07,0.00,0.00,2.72,2.52,0.00,0.06,0.29,0.00,0.37,0.00,0.06,0.56,0.01,0.00,0.13,0.14,0.33,0.21,0.00,1188.97,545.11,2.44,0.19,0.12,0.28,0.00,3.63,0.00,0.02,0.00,0.39,0.31,0.21,0.00,0.00,0.00,605.73,0.00,0.01,0.00,4.36,0.04,0.01,100.17,47.13,34.41,10.59,57.65,12867.57,171.00,641.31,55.09,28.49,1.05,0.00,721.79,0.00,254.71,890.97,180.01,298.80,0.00,0.00,65816.61,275839.98,0.00,0.00,0.00,0.00,73.72,0.00,0.00,0.00,3809.35,0.00,915.87,93.13,227.16,426.97,2814.48,0.00,0.00,0.00,10820.52,0.00,0.00
Productos de caucho,12538.29,442.64,306.65,2114.23,350.12,548.33,416.51,22288.30,9.37,37.50,82.61,0.00,0.00,0.00,748.71,0.00,3.66,0.00,0.00,466.15,2.30,41.51,0.00,0.00,97.83,0.00,0.00,114.99,0.00,0.00,233.52,0.00,0.00,9090.63,0.00,0.00,52.07,0.00,1551.78,645.44,21.83,0.00,0.00,3861.89,0.00,0.00,81.80,0.00,0.00,22.42,0.00,4.37,4642.54,468.72,12232.07,0.00,7621.52,24732.50,613.15,212.37,0.00,0.00,0.00,444.83,0.00,68.27,0.00,2398.77,726.99,110.97,0.00,2161.07,3555.66,6873.35,2769.16,7758.61,0.00,0.00,167.17,0.00,1834.66,864.45,631.12,193.53,1056.65,63425.53,3133.55,11863.33,844.84,522.57,648.25,0.00,7.41,0.00,2.29,5120.73,3301.98,5480.92,781.43,38036.22,0.00,0.00,0.00,1.00,0.00,0.00,5.75,26.73,98.43,37.12,67597.98,0.00,3413.83,2594.65,5488.55,4750.51,43709.92,2.76,0.00,3411.16,4444.37,0.00,0.00
Productos de plástico,4506.75,56747.29,952.10,39867.99,220.04,12156.86,1071.80,140.88,8.27,500.37,3716.34,20104.33,8.78,81.26,166191.82,5274.29,51684.62,6186.23,141852.47,25042.86,5047.85,139587.77,4791.04,131278.18,47357.87,120547.09,1943.12,29374.83,945.13,286097.85,2833.85,5723.61,2421.67,3627.03,0.00,9961.44,461.98,487.21,33413.37,188.03,11045.34,406.29,10329.80,96107.97,1964.24,70727.15,144255.36,8189.44,8139.36,32437.57,5443.78,17211.41,65437.49,205736.10,36958.07,2348.73,60.74,3075.96,341475.59,3142.84,3314.55,4935.20,3816.42,8819.30,111.95,20.93,46.05,248.41,16.72,1843.44,20631.48,727.71,56698.86,50997.02,2385.49,85956.44,0.00,3156.10,0.00,23349.71,16794.37,15.16,3000.96,39584.92,11921.17,66380.91,43997.74,82229.13,928.69,978.13,116928.35,43609.30,104.54,1680.49,75.22,590696.63,8769.86,14556.97,50890.36,159898.01,103.59,283.36,3.86,15.51,280.43,30334.15,98.88,903.30,1449.53,550.33,142216.70,0.00,14070.55,1184.98,2425.45,33738.44,120110.07,115.21,126.12,219.04,5169.26,180.82,8780.65
Vidrio y productos de vidrio,55.01,12.21,7.09,13.54,6.74,59.35,30.93,8.64,0.09,4.92,11.86,0.67,1.12,0.38,57.45,524.13,13461.64,7738.00,2086.75,0.00,114.29,306.05,0.00,119.26,32.86,6929.31,9155.96,139179.06,2997.56,19943.82,0.00,0.00,0.00,0.00,0.00,3.17,0.00,0.00,0.00,0.00,399.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2665.13,0.00,1486.91,17535.44,22594.76,446.67,0.00,0.00,0.00,41935.13,81531.51,0.00,0.00,0.00,0.00,0.00,3.42,0.00,778.93,92.21,339.64,0.00,0.00,7730.57,413.48,0.00,12340.34,73.03,0.00,0.00,442.07,392.01,9021.58,0.00,0.00,5647.33,49158.33,0.00,0.00,0.00,0.00,498.37,0.00,0.08,0.07,0.27,63164.47,4625.40,5369.25,3.19,0.00,0.00,0.05,0.16,0.00,0.00,1.23,0.00,0.00,0.00,0.00,50.30,0.00,7380.54,580.23,1171.55,443.53,2546.35,0.00,0.00,0.00,3159.66,0.00,0.00
Productos de cerámica refractaria y no refractaria para uso no estructural,17.04,0.89,0.02,1.81,0.71,3.22,1.05,5.39,0.00,0.00,13.69,0.00,0.00,0.00,45.16,0.00,10.50,0.00,51.02,3.03,1.09,31.34,0.00,11.48,3.42,13.96,0.00,24.41,0.00,6.84,0.00,0.00,7.56,41.29,1.76,0.00,0.00,0.00,0.00,55.97,731.20,21.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,4557.53,1728.04,0.00,12289.30,8192.31,0.00,3.82,175.78,0.00,0.00,0.00,0.00,2901.12,0.00,0.00,520.71,0.06,0.00,0.00,65.96,49.33,1.36,5.47,0.62,83.58,0.00,19.97,818.34,3.26,0.00,69.04,0.00,3452.93,0.00,0.00,415736.69,0.00,0.00,1325.38,5884.15,771.09,213.63,0.00,0.00,18307.97,0.00,0.00,0.00,0.00,0.00,22.79,0.00,442.88,81.28,171.01,70.24,0.00,0.00,0.00,0.00,0.00,1.05,0.00
Arcilla y cerámica no refractaria para uso estructural,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2008.97,0.00,0.00,97.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,817119.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Cemento, cal y yeso",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1225.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,791.99,0.00,0.00,0.00,0.00,815.84,0.00,0.00,0.00,0.00,0.00,0.00,3548.19,66.32,0.81,34.16,0.00,0.00,733.33,0.00,0.00,10.74,0.00,0.00,1961.41,6240.23,53246.34,63078.38,2955.32,0.00,121.58,16.82,65.33,0.00,13216.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1184.81,0.00,0.00,336.39,0.00,0.00,0.00,0.00,0.00,0.00,3025.39,730489.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Artículos de hormigón, cemento y yeso",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.96,81.60,0.00,57604.92,0.00,0.00,0.00,0.00,0.00,0.00,85.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,619534.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2543.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Industrias básicas de hierro y acero,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1133331.31,0.00,10358.43,1640.51,136838.97,970.18,11589.60,52468.03,105941.29,103163.43,89708.90,232488.17,0.00,18482.31,12629.34,1338.88,7794.87,11121.35,251.30,230.63,12707.07,27295.76,110153.98,112896.19,15629.28,19828.28,0.00,0.00,0.00,0.00,0.00,1125669.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5783.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
